chapter,fig_label,filename,source,copyright_status,rightsholder_or_route,necessary,route,applied_date,applied_by,contact,received_date,doc_path,submitted_date,status,notes,qmd_file,qmd_line
05-pca-biplot.qmd,fig-image-compression-SVD,images/image-compression-SVD.png,"Tomio Kobayashi, Eigenvalues vs Singular Values, [https://bit.ly/42B27Qy](https://bit.ly/42B27Qy)",permission_required,Tomio Kobayashi (post author),Y,direct-contact,,,LinkedIn linkedin.com/in/tomio-kobayashi-9869ba30/ (no email found; source Medium post blocked automated fetch),,,,not started,,./05-pca-biplot.qmd,1989
05-pca-biplot.qmd,fig-supp-regession,images/pca4ds-figure-2-11.png,"@Aluja-etal-2018, Figure 2.11",permission_required,Publisher of @Aluja-etal-2018,Y,direct-contact,,,"Tomas Aluja-Banet, Professor of Statistics, EIO Dept., UPC BarcelonaTech. No direct email confirmed (imp.upc.edu profile 404'd); try LinkedIn linkedin.com/in/tomas-aluja-b0b24713/ or EIO dept. contact page. Site (pca4ds.github.io) states ""All Rights Reserved"" -- permission genuinely required, per MF 2026-08-23.",,,,not started,Book figure; STM route may apply,./05-pca-biplot.qmd,1231
09-collinearity-ridge.qmd,fig-collin-demo,images/collin-demo.png,Adapted artwork; or document substantial transformation,permission_required,SAGE Publications (@Fox:2016:ARA),Y,CCC,,,RightsLink via us.sagepub.com/en-us/nam/books-permissions,,,,not started,Adapted artwork; or document substantial transformation,./09-collinearity-ridge.qmd,204
09-collinearity-ridge.qmd,fig-collinearity-diagnostics-SPSS,images/collinearity-diagnostics-SPSS.png,"Arndt Regorz, How to interpret a Collinearity Diagnostics table in SPSS, https://bit.ly/3YRB82b",permission_required,Arndt Regorz (tutorial author),Y,direct-contact,,,mail@regorz-statistik.de,,,,not started,**Or re-typeset** the table (numbers are raw data → NPR),./09-collinearity-ridge.qmd,77
09-collinearity-ridge.qmd,fig-wheres-waldo,images/wheres-waldo.png,Modified from https://bit.ly/48KPcOo,permission_required,Martin Handford / Walker Books / Candlewick,Y,not-recommended,,,"Candlewick permissions@candlewick.com (~6wk); Walker Books UK permissions@walker.co.uk (~6wk, form required) -- contacts exist but replace/drop remains the recommended path (high risk, commercial character IP)",,,,not started,**High risk** — recommend replace or drop,./09-collinearity-ridge.qmd,105
12-mlm-viz.qmd,fig-iris-diagram,images/iris-diagram.jpg,@DeSilva2020.,permission_required,Rightsholder of @DeSilva2020,Y,direct-contact,,,"ResearchGate profile researchgate.net/profile/Gayan-De-Silva -- DOI 10.13140/RG.2.2.14790.14406 confirms a ResearchGate self-upload (publisher=Unpublished in bib), so De Silva is the rightsholder directly, no publisher intermediary",,,,not started,,./12-mlm-viz.qmd,304
index.qmd,,images/icons/Rennie-cover.png,Book-cover artwork,permission_required,Publisher of the Rennie book (check title page),Y,internal-T&F,,,"CRC Press's own title (bib: publisher=CRC Press) -- raise with T&F Editorial Assistant per guide step 4, no external request",,,,not started,Book-cover artwork,./index.qmd,186
index.qmd,,images/icons/Unwin-GmooG.webp,"T&F-controlled, but still must apply per guide",permission_required,CRC Press / T&F,Y,internal-T&F,,,"CRC Press's own title -- raise with T&F Editorial Assistant per guide step 4, no external request",,,,not started,"T&F-controlled, but still must apply per guide",./index.qmd,185
index.qmd,,images/icons/Wilke-FundamentalsOfDataVis.png,Book-cover artwork,permission_required,O'Reilly Media (publisher),Y,CCC,,,"copyright.com, or +1 (707) 827-7000; mailing: O'Reilly UK Ltd, Attn: Rights Dept, Clockhouse, Dogflud Way, Farnham, GU9 7UD, UK",,,,not started,Book-cover artwork,./index.qmd,183
index.qmd,,images/icons/books.jpg,Montage; covered by items 1–4,permission_required,—,Y,n/a,,,"Montage of the 4 book covers above -- covered by their individual permissions, no separate request",,,,not started,Montage; covered by items 1–4,./index.qmd,197
index.qmd,,images/icons/healy-dava-vis-cover-pupress.jpg,Book-cover artwork,permission_required,Princeton University Press,Y,publisher-page,,,Online form: press.princeton.edu/resources/permissions (2-4wk); CCC for commercial/course-pack use,,,,not started,Book-cover artwork,./index.qmd,184
